"Row","Imbalance_Ratio","Sample_Size","Balance_Method","Model_Type","Threshold","Accuracy","Precision","Recall","F1_Score","TP","TN","FP","FN"
1,0.05,1000,"None","Logistic",0.3,0.95,0,0,0,0,285,0,15
2,0.05,1000,"None","Logistic",0.4,0.95,0,0,0,0,285,0,15
3,0.05,1000,"None","Logistic",0.5,0.95,0,0,0,0,285,0,15
4,0.05,1000,"None","Logistic",0.6,0.95,0,0,0,0,285,0,15
5,0.05,1000,"None","Logistic",0.7,0.95,0,0,0,0,285,0,15
6,0.05,1000,"None","DecisionTree",0.3,0.9367,0,0,0,0,281,4,15
7,0.05,1000,"None","DecisionTree",0.4,0.9367,0,0,0,0,281,4,15
8,0.05,1000,"None","DecisionTree",0.5,0.9367,0,0,0,0,281,4,15
9,0.05,1000,"None","DecisionTree",0.6,0.9367,0,0,0,0,281,4,15
10,0.05,1000,"None","DecisionTree",0.7,0.9367,0,0,0,0,281,4,15
11,0.05,1000,"Undersample","Logistic",0.3,0.4133,0.0503,0.6,0.0928,9,115,170,6
12,0.05,1000,"Undersample","Logistic",0.4,0.5633,0.0397,0.3333,0.0709,5,164,121,10
13,0.05,1000,"Undersample","Logistic",0.5,0.6933,0.0127,0.0667,0.0213,1,207,78,14
14,0.05,1000,"Undersample","Logistic",0.6,0.7767,0.0185,0.0667,0.029,1,232,53,14
15,0.05,1000,"Undersample","Logistic",0.7,0.8467,0.0303,0.0667,0.0417,1,253,32,14
16,0.05,1000,"Undersample","DecisionTree",0.3,0.7767,0.0806,0.3333,0.1298,5,228,57,10
17,0.05,1000,"Undersample","DecisionTree",0.4,0.7767,0.0806,0.3333,0.1298,5,228,57,10
18,0.05,1000,"Undersample","DecisionTree",0.5,0.7767,0.0806,0.3333,0.1298,5,228,57,10
19,0.05,1000,"Undersample","DecisionTree",0.6,0.7767,0.0806,0.3333,0.1298,5,228,57,10
20,0.05,1000,"Undersample","DecisionTree",0.7,0.7767,0.0806,0.3333,0.1298,5,228,57,10
21,0.05,1000,"SMOTE","Logistic",0.3,0.4233,0.0611,0.7333,0.1128,11,116,169,4
22,0.05,1000,"SMOTE","Logistic",0.4,0.6667,0.0619,0.4,0.1072,6,194,91,9
